Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities Passengers,Fatalities Crew,Ground,Summary
03-04-1917,21:30:00,"Near Gent, Belgium",Military - German Navy,7,Croydon - Paris,Airship,79,25,20,0,0,20,0,0,0,Caught fire and crashed.
30-03-1917,10:00:00,Off Northern Germany,Military - German Navy,23,Hamburg - Berlin,Schutte-Lanz S-L-9 (airship),204,117,23,0,0,23,0,0,0,Struck by lightning and crashed into the Baltic Sea.
14-05-1917,16:55:00,"Near Texel Island, North Sea",Military - German Navy,15A,Strasbourg - Paris,Zeppelin L-22 (airship),G-EALW,14,21,0,0,21,0,0,0,"Crashed into the sea from an altitude of 3,000 ft. after being hit by British aircraft fire."
14-06-1917,12:15:00,"Off Vlieland Island, North Sea",Military - German Navy,LZ 129,Venice - London,Zeppelin L-43 (airship),317,14,24,0,0,24,0,0,0,Shot down by British aircraft.
17-06-1917,17:40:00,"Near Yarmouth, England",Military - German Navy,7,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Zepplin LZ-95 (air ship),305,4,16,0,0,14,0,0,0,Shot down by aircraft.
21-08-1917,11:40:00,Off western Denmark,Military - German Navy,1,Paris - London,Zeppelin L-23 (airship),308,6083-130,18,0,0,18,0,0,0,Shot down by British aircraft.
20-10-1917,13:15:00,"Near Luneville, France",Military - German Navy,2,Paris - Berck-sur-Mer - Croydon,Zeppelin L-44 (airship),316,15,18,0,0,18,0,0,0,Shot down by French anti-aircraft fire.
04-07-1918,16:45:00,Over the Mediterranean,Military - German Navy,1,Croydon - Manchester,Zeppelin L-59 (airship),F-ALAI,4,23,0,0,23,0,0,0,Exploded and crashed into the sea off the southern coast of Italy.
05-10-1918,13:42:00,"Off Helgoland Island, Germany",US Aerial Mail Service,8,Toulon - Algiers,Zeppelin L-70 (airship),F-ALTA,28,22,0,0,22,0,0,0,"Shot down by British aircraft crashing from a height of 17,000 ft."
08-11-1918,17:30:00,"Ameland Island, North Sea",US Aerial Mail Service,9,"Lympne, England - Rotterdam, The Netherlands",Zeppelin L-53 (airship),76,29,19,0,0,19,0,0,0,Shot down by british aircraft.
16-12-1918,18:00:00,"Elizabeth, New Jersey",US Aerial Mail Service,4,Barranquilla - Bogota,De Havilland DH-4,G-EAMA,1535,1,0,1,1,0,1,0,Carl Smith was killed when his mail plane feet 500 feet while attempting to land. He tried to reposition the aircraft after the wind shifted and lost control of the plane and dived into the ground.
25-05-1919,02:30:00,"Cleveland, Ohio",Wingfoot Air Express Goodyear Tire,229,London - Paris,De Havilland DH-4,F-ALBO,684,1,0,1,1,0,1,0,Caught fire in midair. The pilot leaped from the plane to his death as the plane began to go into a dive.
19-07-1919,12:00:00,"Dix Run, Pennsylvania",Caproni Company,6,Tiflis - Suchumi,De Havilland DH-4,130,36,1,0,1,1,0,1,0,The mail plane crashed under unknown circumstances.
21-07-1919,05:30:00,"Chicago, Illinois",Aircraft Transport and Travel,1,Alicante - Barcelona - Toulouse,FD Type Dirigible,301,590,0,0,0,3,2,1,10," The dirigible, cruising at 1,200 ft. caught fire and crashed into the Illinois Trust and Savings Building in Chicago. The was transporting people from Grant Park to the White City amusement park.[1] One crew member, two passengers, and ten bank employees were killed"
08-02-1919,09:30:00,"Verona, Italy",US Aerial Mail Service,1,Amsterdam - Paris,Caproni Ca.48,F-ALBA,202,14,12,2,14,12,2,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.
10-02-1919,15:27:00,"Newcastle, England",Aircraft Transport and Travel,19,Oran - Alicante,De Havilland DH-4,67,1502,1,0,1,1,0,1,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed into the woods."
14-10-1919,13:15:00,"Cantonsville, Maryland",US Aerial Mail Service,16,Toulouse - Barcelona,Curtiss R-4LM,H3021,209,1,0,1,1,0,1,0,Crashed into the sea while attempting to land in fog.
20-10-1919,08:00:00,"English Channel off Forkstone, Kent",Aircraft Travel Transport,21,"Lakehurst, NJ - S.t Louis, MO",De Havilland DH-4,160,168,0,0,1,0,0,0,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed."
30-10-1919,08:30:00,"Long Valley, New Jersey",US Aerial Mail Service,6,New York - San Francisco,De Havilland DH.4,196,665,1,0,1,1,0,1,0,Crashed in a field while attemptting to land.
12-11-1919,04:05:00,"Catherham, Surrey, UK",US Aerial Mail Service,3,Paris - Cryodon,de Havilland DH-4,176,1908,1,1,1,1,1,1,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area."
03-10-1920,10:00:00,"New Paris, Indiana",US Aerial Mail Service,21,Paris - Prague - Budapest,De Havilland DH-4,F-ALBI,5307,1,0,1,1,0,1,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.
30-03-1920,14:48:00,"Newark, New Jersey",US Aerial Mail Service,203,Amsterdam - Rotterdam - Brussels - Paris,De Havilland DH-4,R-38,4759,1,0,1,1,0,1,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed.
04-10-1920,11:00:00,"Newark, New Jersey",US Aerial Mail Service,5,"Lebourget, France - Croydon, England",Curtiss R-4LM,F-ADCD,660,2,1,1,1,0,1,0,The aircraft crashed while on approach for unknown reasons.
04-11-1920,19:05:00,"Heller Field, New Jersey",US Aerial Mail Service,1,New York - Paris,Curtiss JN-4H,G-AUDI,2,2,1,1,1,0,1,0,"In worsening weather conditions, the pilot lost his sense of orientation and crashed in a field."
05-12-1920,11:30:00,"Oskaloosa, Iowa",Compañia Colombiana de Navegación Aérea,4,Paris - London,De Havilland DH-4,G-EATN,1,2,1,1,1,1,0,0,The aircraft suffered engine failure and crashed shortly after taking off.
06-06-1920,10:00:00,"Cleveland, Ohio",By Air,1,Croydon - Paris,De Havilland DH-4,G-EAOW/FGEAD,1554,1,0,1,1,0,1,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.
20-07-1920,08:00:00,"Cartagena, Columbia",US Aerial Mail Service,71,Casablanca -Dakar,Farman F-40,F-ACMH,W10/3,1,1,1,1,1,1,0,The plane crashed during a cargo flight under unknown circumstances.
16-08-1920,10:45:00,"Bedford, England",US Aerial Mail Service,7208,Delivery flight,Armstrong-Whitworth F-K-8,F-FREI,198,1,0,1,1,0,1,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames."
16-08-1920,17:00:00,"College Park, Maryland",US Aerial Mail Service,28,Casablanca - Oran,De Havilland DH-4,F-ALVE,4938,1,0,1,1,0,1,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire."
09-01-1920,09:18:00,"Morristown, New Jersey",US Aerial Mail Service,1,Charleville - Tambo - Blackall,Junkers JL-6,227,86,2,0,2,2,0,2,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.
15-09-1920,11:45:00,"Pemberville, Ohio",Latecoere Airlines,V-1104,Charleville - Tambo - Blackall,Junkers F-13,G-EAYT,A28,2,0,0,2,0,0,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.
27-09-1920,08:00:00,"Hillersburg, Pennsylvania",Latecoere Airlines,9,Kassel - Frankfurt,De Havilland DH-4,F-ALNA,1567,1,0,1,1,0,1,0,Crashed into the Mediterranean while on a mail flight.
10-02-1920,11:30:00,"Off Port Vendres, France",US Aerial Mail Service,9035,Croydon - Schiphol,Salmson 2-A-2,F-AEIB,591,2,1,1,2,1,1,0,While on a mail flight the plane crashed while attempting to land.
10-05-1920,21:00:00,"Valencia, Spain",US Aerial Mail Service,777,Sightseeing,Breguet 14,F-ALJU,4993,2,1,1,2,1,1,0,While attempting to land in fog the aircraft hit an obstruction and crashed.
15-10-1920,11:01:00,"Batavia, Illinois",Handley Page Transport,63,Old Orchad Beach - Rome,De Havilland DH-4,223,405,1,0,1,1,0,1,0,The aircraft crashed into a mountain in poor weather condtions.
11-07-1920,18:00:00,"Tie Siding, Wyoming",Aeropostale,63,Berlin - Munich,De Havilland DH-4,291,4840,1,0,1,1,0,1,0,The plane failed to gain altitude after taking off from Criclklewood and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..
14-12-1920,18:00:00,"London, England",US Aerial Mail Service,2,Saint Louis - Dakar,Handley Page HP-16,F-AEBY,4899/0501,8,6,2,4,2,2,0,The aircraft stalled and crashed when an engine failed.
24-12-1920,07:00:00,"Barcelona, Spain",US Aerial Mail Service,218,Strasbourg - Paris,Breguet 14,F-AECB,75,1,0,1,1,0,1,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.
02-03-1921,10:10:00,"Mendotta, Minnisota",Aeropostale,-,Tallinn - Helsinki,De Havilland DH-4,F-AEGN,229,1,0,1,1,0,1,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.
02-09-1921,09:35:00,"La Crosse, Wisconsin",US Aerial Mail Service,8,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Junkers F-13,283,20,3,0,3,3,0,3,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.
15-02-1921,17:00:00,Off Gibraltar,Military - Royal Australian Air Force,13,Test flight,Breguet 14,G-EBBS,1,2,0,2,2,0,2,0,"Shortly after taking off, the aircraft stalled and crashed ."
22-02-1921,18:23:00,"Elko, Nevada",US Aerial Mail Service,161,Minola - Albany - Buffalo,De Havilland DH-4,D-257,798,1,0,1,1,0,1,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames."
04-06-1921,17:30:00,"Point Cook, Australia",US Aerial Mail Service,6001,Buenos Aires - Montevideo,"  	 Avro 504",318,PO641,2,0,0,2,0,0,0,After taking off the aircraft stalled and crashed.
21-04-1921,17:00:00,"Mitchel Field, NY",US Aerial Mail Service,9,Toulouse - Perpignan - Alicante - Casablanca - Dakar,De Havilland DH-4,L-72,227,1,0,1,1,0,1,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog."
29-04-1921,15:00:00,"Cleveland, Ohio",Aeropostale,142,Casablanca - Alicante - Perpignan - Toulouse,De Havilland DH-4,315,23-Jan,1,0,1,1,0,1,0,Crashed while attempting to land.
17-05-1921,15:45:00,"Rock Springs, Wyoming",Military - Royal Airship Works,45,Casablanca - Alicante - Perpignan - Toulouse,De Havilland DH-4 De Havilland DH-4,327,39,1,0,1,1,0,1,0,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.
14-08-1921,02:05:00,"Toulouse, France",Franco-Roumaine,216,Paris - Croydon,Breguet 14,H-NABS,633,2,0,0,2,0,0,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.
24-08-1921,09:45:00,"River Humber, England",West Australian Airways,42,Barcelona - Madrid,Royal Airship Works ZR-2 (airship),A16,240,46,0,46,46,0,46,1,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.
09-06-1921,20:00:00,"Paris, France",Handley Page Transport,16,Dearborn - Buffalo,Potez IX,297,162,5,4,1,5,4,1,0,Crashed at Le Bourget field.
12-05-1921,22:40:00,"Near Murchinson River, Australia",Military - U.S. Army Air Service,19,Essen - Dortmund - Frankfurt,Bristol 28 Tourer,F-AFBD,891,2,0,2,2,0,2,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.
14-01-1922,13:00:00,"Paris, France",Aero Limited,14,Chicago - Dallas,Handley Page O/10,311,62/6943,5,4,1,5,4,1,5,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami."
21-02-1922,10:45:00,"Near Norfolk, Virginia",Daimler Airways / Grands Express Aeriens,105,Tallinn - Helsinki,Dirigible Roma (airship),G-EBBX,893,45,0,0,34,0,0,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60."
22-03-1922,23:30:00,North Atlantic Ocean,Cie des Messageries Aeriennes,16B,Testing,Aeromarine Model 85 (flying boat),R-RECA,36,6,5,1,5,5,0,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.
04-07-1922,22:30:00,"Grandvilliers, France",Compagnie Franco-Roumaine de Navigaation Aerienne,14,Sightseeing over Rotterdam,de Havilland DH-18 / Farman F-60 Goliath,F-AFBB,671,7,5,2,7,5,2,0,Went down into the English Channel while en route.
04-08-1922,09:00:00,"Pao Ting Fou, China",Grands Express Aeriens,6-103,Victoria - Seattle,,H-NABM,4-AT-001,17,0,17,17,0,17,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron)."
06-03-1922,08:40:00,"Off Folkestone, Kent, England",US Aerial Mail Service,513,Toul - Clermont-Ferrand,Bleriot Spad 27,F-FREM,742,3,2,1,3,2,1,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.
07-04-1922,20:00:00,"Fuhlsbuttel, Germany",de Havilland Air Service,878,Adelaide - Longreach,LVG C VI,F-AFBI,439,3,2,1,2,1,1,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed."
16-07-1922,04:00:00,"Near Saverne, Lorraine, France",Grands Express Aeriens,850,Great Falls - Pocatello - Salt Lake City,Potez 29,ZR-1,628,5,4,1,5,4,1,0,The plane stalled shortly after takeoff and crashed.
26-07-1922,06:48:00,"Cadix, Spain",Grands Express Aeriens,28,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,385,760,3,2,1,3,2,1,0,Shortly after taking off the plane crashed into the sea and sank.
09-07-1922,22:30:00,"Indianapolis, Indiana",Amee de l'Air,942,Paris - Lyon - Marseille,De Havilland DH-4,F-AEGZ,9,1,0,1,1,0,1,0,Crashed under unknown circumstances.
10-02-1922,05:45:00,"Venice, Italy",Grands Express Aeriens,404,Marseille - Palma de Majorca,de Havilland DH-9,F-AMFY,1533 (KLM-1),4,3,1,4,3,1,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.
25-10-1922,16:00:00,"Larache, Morocco",US Aerial Mail Service,23,Cleveland - Chicago,Breguet 14,602,4-AT-26,2,1,1,2,1,1,0,The plane crashed mid-air due to a structural failure of the tail.
12-03-1922,02:00:00,"Fez, Morocco",US Aerial Mail Service,44,Cleveland - Louisville,Breguet 14,D-290 D-290,07-May,1,0,1,1,0,1,0,Crashed into a mountain during a snowstorm.
01-10-1923,19:30:00,"Ajaccio, France",Grands Express Aeriens (Air Union),115,San Antonio - Amarillo - Tulsa - Denver,Lioré-et-Olivier H-13,F-ADAI,5,4,2,2,3,1,2,0,Crashed during a mail flight.
17-01-1923,12:00:00,"Barcelona, Spain",Air Union,140,Sightseeing,Breguet 14,F-AFBT,809,1,0,1,1,0,1,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.
18-01-1923,08:00:00,"Cheyenne, Wyoming",Campagnie France Roumaine,48,Colfax - Spokane,De Havilland DH-4,H-NACC,1531,1,0,1,1,0,1,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette."
26-02-1923,00:10:00,"Meadville, Pennsylvania",US Aerial Mail Service,6963,Cologne -  Berlin,De Havilland DH-4,D-272,159,1,0,1,1,0,1,0,"The aircraft lost an engine about 45 minutes into the flight. As the plane was incapable of maintaining level flight with only one engine operating, the pilot decided to make an emergency landing. He asked the mechanic to ask two passengers to move towards the rear of the aircraft. This instruction was apparently misunderstood by the passengers, as four of them moved towards the rear of the aircraft. This affected the center of gravity of the aircraft, which then entered into a spin and crashed."
14-05-1923,09:00:00,"Near Amiens, Picrdie, France",Daimler Airways,2207,Cleveland - Chicago,Farman F-60 Goliath,F-AIEB,658,6,4,2,6,4,2,0,Crashed while on approach to Bucharesst.
27-08-1923,06:00:00,"East Mallling, United Kingdom",CCCP,665,Strasbourg - Paris,Farman F.60 Goliath,F- AICQ,4381.9,11,9,2,1,1,0,0,Crashed during an emergency landing attempt.
27-08-1923,02:07:00,"Bucharest, Romania",US Aerial Mail Service,3,"Boise, ID - Pasco, WA",Blériot Spad 46,D-468,80,2,1,1,2,1,1,0,Crashed while attempting a forced landing after encountering heavy rain.
09-07-1923,20:07:00,"Colton, Ohio",Military - French Navy,521,Brindisi - Athens - Istanbul,De Havilland DH-4,G-EBMS,46,1,0,1,1,0,1,0,Crashed during a training flight.
14-09-1923,14:30:00,"Near Ivinghoe, Buckinghamshire, England",US Aerial Mail Service,605,Agadir - Casablanca,de Havilland DH-34,F-AFAX,525,5,3,2,5,3,2,0,Crashed under unknown circumstances.
18-11-1923,12:30:00,Russia,US Aerial Mail Service,410,Sightseeing,Junkers F-13,2,650,5,2,3,3,1,2,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning."
12-06-1923,07:40:00,"Castalia, Ohio",KLM Royal Dutch Airlines,121,Los Angeles - Phoenix - El Paso,De Havilland DH-4,G-EBPL,4-AT-47,1,0,1,1,0,1,0,Crashed into a montain in poor weather conditions.
23-12-1923,15:00:00,Over the Mediterranean Sea,SCADTA,311,San Diego - Phoenix,Zeppelin Dixmunde (airship),F-ALRA,83,52,0,0,52,0,0,0,Crashed during a snowstorm.
24-12-1923,03:15:00,"Egbert, WY",US Aerial Mail Service,608,"Tampico - Brownsville, TX",De Havilland DH-4,G-AUED,4-AT-045,1,0,1,1,0,1,0,The aircraft disappeared over the North Sea. The plane and passengers were never found.
03-07-1924,17:00:00,"Grampian, Pennsylvania",Grands Express Aeriens,1629,Algiers - Marseille,De Havilland DH-4,D-729,3005,1,0,1,1,0,1,0,Stalled after taking off and crashed into houses..
24-04-1924,15:40:00,Over the English Channel,US Aerial Mail Service,923,Santiago de Cuba - Havana,Fokker F.III,626,653,3,2,1,3,2,1,0,"The pliot made a low pass in honor of another pilot who had died, stalled and cashed."
06-08-1924,01:00:00,"Barranquilla, Colombia",Imperial Airways,10,Janeiro - Buenos Aires,Junkers F-13,F-AIFN,3359-40,5,3,2,5,3,2,0,"While en route the pilot encountered thunderstorms, lost control and crashed."
08-01-1924,21:00:00,United States,Zakavia,9,London - Paris - Basil - Zuric,De Havilland DH-4,D-206,111,1,0,1,1,0,1,0,"Lost in a snowstorm, the pilot decided to bail out of the plane but was killed."
11-06-1924,11:20:00,"Cabrerolles, France",Grands Express Aeriens,6,St. Paul - Minneapolis,Breguet 14,H-NADU H-NADU,102,1,0,1,1,0,1,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Crashed due to an unknown mechanical failure and subsiquent stall. Captain Stewart and seven passengers were killed in an attempted forced landing."
21-12-1924,22:35:00,"Goshen, Indiana",KLM Royal Dutch Airlines,572,Frankfurt - Berlin,De Havilland DH-4,"NC52  	 NC52",53,1,0,1,1,0,1,0,Shortly after take off the plane went out of control and crashed in flames.
24-12-1924,15:00:00,"Purley, England",Grands Express Aeriens,611,Albuquerque - Los Angeles,de Havilland DH-34B,NC776,674,8,7,1,8,7,1,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed."
22-03-1925,16:00:00,"Near Tiflis, Georgia, USSR",Lignes Aeriennes Latecoere,700,"London, England - India",Junkers F-13,NX703,800,5,3,2,5,3,2,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight."
25-04-1925,13:00:00,"Alicante, Spain",CIDNA,4422,"Toulouse, France - Casablanca, Morocco",Breguet 14,D-585,4-AT-41,3,1,2,3,1,2,0,While attempting to land the seaplane hit a lightning mast and crashed.
25-06-1925,18:15:00,"Landrécies, France",Military - U.S. Navy,10-Jan,Sightseeing,Fokker (KLM)  F.III,F-AGBN,617,4,3,1,4,3,1,0,Crashed in unknown circumstance.
26-06-1925,14:15:00,"Alicante, Spain",CIDNA,624,Toulouse - Perpignan - Barcelona - Alicante - Casablanca,Lioré-et-Olivier LeO H-13,F-AIBR,4-AT-010,2,0,2,2,0,2,0,Crashed while attempting to land 10 km from the airport
20-07-1925,05:00:00,"Rosas, Spain",US Aerial Mail Service,343,Tijuana - Nogales,Breguet 14,K-SALD,1604,1,0,1,1,0,1,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon."
24-07-1925,17:00:00,"Budapest, Hungary",Lignes Aeriennes Latecoere,72,Naples - Genoa,Potez IX,"NC62  	 NC1062",7,1,0,1,1,0,1,0,Crashed into a wooded area on Mt. Nittany in fog and low visibility.
09-03-1925,11:00:00,"Caldwell, Ohio",Air Union,421,Cleveland - Louisville,Dirigible ZR-1 Shenandoah (airship),F-AFGS,1010,43,0,0,14,0,0,0,The pilot suffered sunstroke lost control of the plane and crashed.
09-07-1925,06:00:00,"Toul, France",US Aerial Mail Service,331,Bremerton - Seattle,Spad 33,F-AIHP,217,0,0,0,0,0,0,,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area."
10-01-1925,09:50:00,"Mt. Nittany, Ohio",Deutche Lufthansa,60,Matamoros - Mexico City - Juarez,De Havilland DH-4,NC3780,W10/4,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.
14-11-1925,22:45:00,"Nouadhibou, Mauritania",Air Union,6427,Croyden - Amsterdam - Berlin,Breguet 14,F-AIKG,5-AT-002,1,0,1,1,0,1,0,The mail plane crashed into the English Channel and was never found.
14-11-1925,10:50:00,"Off Boulogne-sur-Mer, France",Compagnie Internationale de Navigation Aérienne,8,Marseille - Ajaccio - Tunis,Farman F-60 Goliath,  F-AHEQ,151,2,0,0,2,0,0,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.
02-12-1926,23:42:00,"Montpelier, Ohio",KLM Royal Dutch Airlines,100,"Cagliari, Terranova - Rome",Curtiss Carrier Pigeon,F-AHEQ,524,1,0,1,1,0,1,0,Crashed into the ground while descending in poor weather.
03-08-1926,05:30:00,"Staaken, Germany",Deutsche Lufthansa,897R,Marseille - Berlin,Junkers F-13,F-AFHN,108,1,0,1,1,0,1,0,Crashed under weather related.circumstances.
31-05-1926,07:30:00,English Channel,Air Union,5,Demonistration,Breguet 14,NC280,1571,1,0,1,1,0,1,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.
07-03-1926,03:33:00,"Rossaugpt, Czechoslovakia",Air Union,557,Antananarivo - Paris,Caudron C-61,F-AEFC,67,6,4,2,6,4,2,0,Too much weight caused the landing gear to collapse as the plane took off for Paris on the first trans-Atlantic passenger flight.
07-09-1926,02:52:00,"Wolvertem, Belgium",Deutsche Lufthansa,08-Nov,"Aqua Caliente, Mexico - Los Angeles",Fokker F7,NC282 NC282,5-AT-002,2,1,1,2,1,1,0,"After an engine fire, the pilot attempts to make an emergency landing at Penshurst Airfield but crashed.."
24-07-1926,19:00:00,"Juist, Germany",Imperial Airways,537,Casablanca - Alicante,Junkers F-13,M-CCCC,239,5,4,1,5,4,1,0,Weather related.
18-08-1926,00:45:00,"Hurst, Kent, England",Grands Express Aeriens,157,"Wichita - Kansas City, KS",Bleriot 155,F-AIMQ,704,15,13,2,3,2,1,0,"The plane was on a flight from London to Paris when power was lost to the starboard engine. The aircraft began to lose altitude until it eventually ditched into the sea about 18 miles from the English coast. The plane stayed afloat long enough for the fishing boat Invicta, piloted by Captain Marshall, to rescue all aboard. The plane was named Prince Henry."
